month,division,line,day_type,num_sched_trains,num_actual_trains,service delivered
2024-09-01,A DIVISION,1,1,1680,1610,95.83333
2024-09-01,A DIVISION,1,2,1410,1365,96.80851
2024-09-01,A DIVISION,2,2,2022,1986,98.219585
2024-09-01,A DIVISION,2,1,2140,2062,96.35514
2024-09-01,A DIVISION,3,1,2060,2002,97.18447
2024-09-01,A DIVISION,3,2,831,821,98.79663
2024-09-01,A DIVISION,4,1,2759,2613,94.70823
2024-09-01,A DIVISION,4,2,2379,2371,99.66372
2024-09-01,A DIVISION,5,1,2434,2282,93.75514
2024-09-01,A DIVISION,5,2,1144,1021,89.24825
2024-09-01,A DIVISION,6,1,2060,1953,94.805825
2024-09-01,A DIVISION,6,2,1400,1312,93.714285
2024-09-01,A DIVISION,7,2,1472,1470,99.86413
2024-09-01,A DIVISION,7,1,2680,2631,98.17164
2024-09-01,A DIVISION,GS,1,2020,2006,99.30693
2024-09-01,A DIVISION,GS,2,1812,1810,99.889624
2024-09-01,B DIVISION,A,2,1403,1370,97.6479
2024-09-01,B DIVISION,A,1,2560,2436,95.15625
2024-09-01,B DIVISION,B,1,1697,1551,91.39658
2024-09-01,B DIVISION,C,1,1520,1411,92.82895
2024-09-01,B DIVISION,C,2,1200,1183,98.583335
2024-09-01,B DIVISION,D,1,1900,1753,92.263156
2024-09-01,B DIVISION,D,2,1600,1581,98.8125
2024-09-01,B DIVISION,E,2,800,787,98.375
2024-09-01,B DIVISION,E,1,1560,1412,90.51282
2024-09-01,B DIVISION,F,2,1520,1490,98.02632
2024-09-01,B DIVISION,F,1,2900,2675,92.241377
2024-09-01,B DIVISION,FS,2,864,849,98.26389
2024-09-01,B DIVISION,FS,1,720,720,100
2024-09-01,B DIVISION,G,2,1700,1681,98.882353
2024-09-01,B DIVISION,G,1,940,901,95.851064
2024-09-01,B DIVISION,H,2,548,543,99.08759
2024-09-01,B DIVISION,H,1,420,427,101.66667
2024-09-01,B DIVISION,JZ,2,1106,1013,91.59132
2024-09-01,B DIVISION,JZ,1,1061,1027,96.795475
